COD_ESC;IDESP_AI;IDESP_AF;IDESP_EM;ANO_APLICACAO;DTCADASTRO
28769;0.00;3.52;1.94;2019;2023-03-20 11:15:36.7230000
28782;0.00;5.08;4.04;2019;2023-03-20 11:15:36.7230000
28794;0.00;0.00;4.84;2019;2023-03-20 11:15:36.7230000
28800;0.00;4.46;3.80;2019;2023-03-20 11:15:36.7230000
28812;0.00;4.74;3.70;2019;2023-03-20 11:15:36.7230000
28836;0.00;0.00;3.18;2019;2023-03-20 11:15:36.7230000
2884;0.00;5.53;0.00;2019;2023-03-20 11:15:36.7230000
288408;0.00;3.40;1.48;2019;2023-03-20 11:15:36.7230000
28848;0.00;5.38;0.00;2019;2023-03-20 11:15:36.7230000
28859;0.00;2.66;2.02;2019;2023-03-20 11:15:36.7230000
28861;0.00;0.00;3.84;2019;2023-03-20 11:15:36.7230000
28897;0.00;3.35;2.73;2019;2023-03-20 11:15:36.7230000
28903;0.00;4.07;3.21;2019;2023-03-20 11:15:36.7230000
28915;0.00;0.00;5.36;2019;2023-03-20 11:15:36.7230000
28927;0.00;5.19;4.10;2019;2023-03-20 11:15:36.7230000
28939;0.00;4.50;5.08;2019;2023-03-20 11:15:36.7230000
28940;0.00;4.00;3.16;2019;2023-03-20 11:15:36.7230000
28952;0.00;4.89;3.21;2019;2023-03-20 11:15:36.7230000
2896;5.61;0.00;0.00;2019;2023-03-20 11:15:36.7230000
28964;0.00;3.50;3.35;2019;2023-03-20 11:15:36.7230000
28976;0.00;3.83;2.61;2019;2023-03-20 11:15:36.7230000
28988;0.00;3.22;2.39;2019;2023-03-20 11:15:36.7230000
28997;0.00;1.61;1.61;2019;2023-03-20 11:15:36.7230000
29002;0.00;6.60;0.00;2019;2023-03-20 11:15:36.7230000
290075;0.00;0.00;2.79;2019;2023-03-20 11:15:36.7230000
29014;0.00;2.85;2.05;2019;2023-03-20 11:15:36.7230000
2902;0.00;3.73;3.06;2019;2023-03-20 11:15:36.7230000
