BANHEIROS,COZINHA,LABORATÓRIO,ESPORTE,SALAS DE AULA,LEITURA,OUTROS,IDESP_AF
5,2,1,1,6,1,7,3.54
13,3,1,1,11,1,7,3.84
5,5,1,1,16,1,8,2.67
9,3,3,1,13,1,12,2.4
6,4,2,2,16,1,12,2.98
6,6,2,2,15,1,13,3.26
11,3,2,1,15,1,7,2.98
5,3,1,1,13,1,10,3.01
5,4,0,2,7,1,12,3.53
12,3,2,3,19,1,29,4.45
5,2,0,1,8,1,13,4.7
5,4,2,1,25,2,9,0.0
4,4,1,1,16,0,14,5.08
6,6,1,2,15,1,17,4.76
8,4,0,1,12,0,13,3.91
7,2,2,1,9,1,18,5.07
6,5,2,1,11,1,13,6.52
5,4,2,2,14,1,14,4.97
7,3,1,2,10,1,18,3.65
6,5,2,1,10,1,14,4.91
7,6,2,1,14,1,16,3.65
6,4,2,1,18,1,16,4.76
5,3,2,2,14,0,8,0.0
9,7,2,2,21,1,15,4.16
4,3,1,2,13,1,11,2.96
9,4,2,1,20,1,9,3.59
8,4,1,2,16,1,11,3.61
7,5,3,2,20,2,8,4.14
7,4,1,1,13,1,8,2.93
7,6,2,3,22,1,11,2.39
4,3,1,1,10,1,9,4.88
9,2,1,1,16,1,13,0.0
8,2,1,1,13,1,9,3.76
7,4,1,1,18,1,12,0.0
6,4,3,0,18,2,8,3.27
5,5,2,1,17,1,15,4.86
6,2,1,1,11,1,9,3.52
5,2,0,2,13,1,8,4.1
5,3,0,1,11,1,10,4.91
5,5,4,2,18,1,8,4.8
10,5,2,2,15,1,13,4.66
8,3,1,1,10,1,8,3.28
6,3,1,2,9,1,6,4.58
8,3,3,2,20,1,14,3.23
4,3,1,1,11,1,6,4.13
8,3,2,1,15,1,14,4.8
8,4,0,2,18,1,9,6.07
6,3,2,2,15,1,13,0.0
9,4,4,1,9,1,11,0.0
7,2,1,1,13,3,11,3.52
9,3,0,1,16,0,10,3.92
6,7,0,1,11,1,10,4.64
6,4,1,1,16,1,10,0.0
8,4,2,2,18,2,15,3.48
7,3,2,1,11,1,11,4.35
4,3,5,2,19,1,15,0.0
4,2,1,1,9,1,7,4.29
8,4,3,2,23,1,24,2.84
7,5,1,1,23,1,16,2.78
6,4,1,1,9,1,11,2.92
5,4,1,1,16,0,10,3.16
8,3,1,1,9,1,7,3.15
4,4,2,1,26,1,9,3.21
10,6,2,2,20,1,13,3.45
8,3,1,1,16,0,14,3.24
4,2,1,1,12,1,7,0.0
5,2,2,1,8,1,9,0.0
5,3,1,1,18,1,19,0.0
12,4,3,2,30,1,13,2.92
5,3,1,1,10,1,11,3.24
11,7,2,2,18,2,21,3.06
11,5,1,1,20,1,16,3.85
5,1,1,2,13,1,11,3.18
7,4,4,2,16,0,10,2.87
4,2,1,1,15,1,9,3.53
5,4,4,2,22,1,11,5.78
8,4,2,2,24,1,12,2.98
5,3,2,1,19,1,10,2.67
7,2,2,1,8,1,7,2.63
5,3,3,2,9,1,8,5.93
5,2,0,1,13,1,11,3.01
4,2,1,1,10,1,7,0.0
4,3,0,1,10,1,9,3.59
5,2,2,1,7,1,9,4.69
9,3,4,1,9,1,12,0.0
7,5,1,2,12,1,10,3.38
7,3,1,1,8,1,6,3.75
5,4,2,1,11,1,12,3.75
10,1,2,2,10,1,17,0.0
8,6,2,2,25,1,20,3.96
5,4,2,1,17,1,7,3.75
6,6,1,1,10,1,9,3.78
8,2,1,1,10,1,10,3.26
5,3,3,2,16,1,12,3.04
4,2,0,1,15,0,9,2.34
5,4,2,1,13,1,6,3.49
6,4,1,1,13,1,10,3.35
7,4,2,1,15,1,12,3.85
6,3,4,1,13,1,15,0.0
10,6,1,1,21,1,10,0.0
13,5,2,2,13,1,17,5.04
7,3,1,1,10,1,11,3.76
6,3,1,1,10,1,6,0.0
12,6,2,2,22,2,15,3.0
4,4,4,2,15,1,11,5.38
5,3,0,1,5,1,8,3.53
6,4,1,1,13,1,11,0.0
5,4,3,1,17,1,11,2.97
7,4,2,2,34,1,9,2.38
8,4,3,2,19,1,9,3.01
11,4,2,1,24,0,12,2.85
6,4,1,2,10,1,7,3.54
5,3,1,0,8,0,15,0.0
14,4,1,2,26,1,11,3.25
4,2,1,1,8,1,5,2.99
4,3,1,1,12,1,6,0.0
7,2,1,1,12,0,11,3.31
5,4,4,2,13,1,13,4.47
4,3,1,1,9,1,7,3.48
5,5,2,2,17,1,9,3.88
4,1,2,1,13,1,8,3.89
4,1,2,2,17,1,7,3.74
4,4,2,3,18,2,10,4.2
6,3,2,1,22,1,9,3.22
5,4,1,2,14,1,8,2.87
4,2,1,1,11,1,5,3.89
5,5,3,2,24,1,10,3.6
12,3,1,1,34,1,8,3.02
5,6,2,2,19,1,10,4.7
4,3,1,1,14,1,8,0.0
6,3,1,1,10,1,7,3.24
8,4,1,1,14,1,6,0.0
6,4,1,1,21,1,9,0.0
4,4,1,1,18,1,13,2.75
11,4,2,3,22,1,13,3.58
8,5,1,1,19,1,13,0.0
4,5,3,2,17,1,7,3.58
5,6,1,1,21,1,10,4.81
8,4,0,1,21,1,11,4.4
7,5,1,1,14,1,9,3.37
6,3,1,1,11,0,7,0.0
3,4,1,0,9,1,6,0.0
