BANHEIROS,COZINHA,LABORATÓRIO,ESPORTE,SALAS DE AULA,LEITURA,OUTROS,IDESP_AF,CLASSIFICACAO_NOTA
4,3,2,2,20,1,12,2.34,D
2,5,4,1,19,1,7,2.99,D
7,4,1,1,18,1,12,2.02,D
4,5,2,1,20,1,8,3.1,D
8,5,2,2,23,2,11,3.62,C
4,2,1,1,13,0,9,2.31,D
7,6,1,2,13,1,10,2.72,D
6,4,2,2,18,0,8,2.76,D
9,5,2,2,19,1,15,4.8,C
5,3,2,2,25,1,12,3.35,C
2,5,1,2,17,1,5,3.3,C
6,3,4,2,15,1,15,3.79,C
8,5,2,2,14,0,26,2.56,D
6,4,1,2,19,1,17,2.23,D
7,4,1,1,21,1,13,3.23,D
5,4,0,1,13,2,20,3.41,C
5,5,0,1,33,0,9,3.94,C
5,4,1,2,19,1,8,2.77,D
5,5,2,2,23,1,15,3.66,C
4,4,2,1,12,1,8,2.9,D
8,2,1,1,16,2,9,2.95,D
11,6,2,2,20,1,11,4.03,C
7,2,2,2,15,1,7,2.81,D
10,6,1,2,20,1,13,2.22,D
13,7,3,2,26,1,20,3.55,C
11,7,1,2,26,1,19,3.43,C
3,3,2,1,16,1,6,3.33,C
5,2,0,1,12,1,6,2.63,D
4,2,2,1,12,1,7,2.89,D
8,5,2,2,20,1,8,1.66,D
5,2,0,1,6,1,5,3.92,C
6,3,1,1,13,1,11,3.01,D
8,4,2,3,21,1,9,3.44,C
5,3,3,1,16,1,9,3.48,C
9,7,5,2,33,2,10,3.26,C
5,6,1,2,18,1,11,1.9,D
7,5,1,2,13,1,10,3.07,D
5,4,1,1,11,0,7,3.39,C
5,3,1,1,13,1,9,3.75,C
4,5,3,2,37,1,11,2.79,D
8,3,5,0,17,1,14,3.61,C
6,3,2,1,17,1,15,3.02,D
3,3,2,2,18,1,8,3.0,D
2,4,2,2,19,1,8,3.16,D
5,4,2,2,19,1,10,2.81,D
11,5,4,5,28,1,19,3.08,D
12,5,4,2,19,1,15,2.76,D
9,5,2,2,25,1,11,3.41,C
4,3,2,1,15,1,8,2.95,D
7,4,2,1,14,1,9,4.06,C
6,4,1,2,13,1,12,3.59,C
4,5,2,1,15,1,9,3.64,C
7,5,3,0,16,1,14,3.21,D
7,4,3,2,19,1,15,3.44,C
4,3,0,1,10,1,9,3.26,C
9,3,1,1,14,1,9,2.92,D
10,7,2,2,18,1,30,3.67,C
10,4,2,2,14,1,16,3.85,C
6,3,0,1,7,1,11,3.24,C
15,6,4,2,27,1,16,3.85,C
10,6,2,4,38,2,14,3.86,C
10,4,3,2,15,1,10,3.41,C
8,5,2,2,18,1,7,2.81,D
5,4,1,1,13,0,7,3.31,C
5,3,1,1,11,1,8,3.02,D
6,4,2,1,16,1,6,3.07,D
6,1,1,1,13,1,10,2.85,D
5,3,1,1,9,1,6,2.87,D
6,5,2,1,12,1,7,2.04,D
5,3,1,1,13,1,7,2.05,D
4,3,1,0,5,2,5,0.24,E
8,4,0,1,12,1,8,2.56,D
4,2,1,1,12,1,7,3.37,C
6,3,1,1,5,1,8,4.38,C
5,4,1,1,11,1,8,2.57,D
4,3,1,1,18,1,7,2.85,D
6,3,1,1,12,0,9,3.13,D
4,2,1,1,9,1,6,3.19,D
7,3,1,1,12,1,10,1.86,D
7,6,1,1,13,1,8,2.96,D
7,4,0,1,19,1,10,2.22,D
5,5,1,1,14,1,9,3.18,D
6,4,0,1,15,1,10,3.52,C
6,2,1,1,11,1,10,3.61,C
7,4,1,1,17,0,11,2.44,D
5,2,0,1,9,0,8,3.49,C
5,3,1,1,18,1,10,3.11,D
5,5,1,1,14,1,5,2.26,D
7,3,1,1,9,1,15,3.04,D
7,2,1,1,7,1,4,3.28,C
6,3,2,1,10,1,13,2.46,D
5,3,1,1,6,1,8,3.44,C
4,5,1,2,13,1,8,2.06,D
8,4,1,1,15,1,8,3.39,C
5,3,3,1,16,1,5,3.0,D
8,4,4,1,9,1,7,0.24,E
7,4,3,2,18,1,5,2.55,D
5,3,1,1,16,0,8,2.78,D
5,4,2,0,18,1,6,2.87,D
5,4,1,1,11,1,7,2.54,D
6,2,1,1,6,0,7,1.38,E
4,2,0,1,9,1,5,0.45,E
4,3,1,1,13,1,6,3.17,D
5,2,1,1,7,1,9,4.15,C
6,5,2,2,11,1,9,4.15,C
7,5,1,1,21,1,11,2.41,D
5,4,2,1,21,1,10,2.95,D
4,5,2,1,18,1,8,2.81,D
9,3,0,1,20,1,10,3.05,D
10,8,4,2,31,2,17,2.83,D
10,4,1,1,25,1,8,2.57,D
8,3,3,1,15,1,13,4.34,C
4,1,1,1,5,1,5,3.31,C
5,5,1,1,15,1,7,2.09,D
7,4,1,1,17,1,8,2.51,D
6,2,0,1,12,2,7,2.28,D
5,3,0,1,14,1,5,2.81,D
6,4,1,1,9,0,7,2.99,D
5,4,2,1,18,1,8,3.25,C
8,4,1,1,9,1,11,3.54,C
5,4,1,1,17,1,10,3.18,D
6,5,2,1,12,1,9,2.61,D
5,5,2,1,16,1,7,2.93,D
9,4,1,1,19,1,8,2.57,D
6,4,2,1,13,1,10,3.8,C
10,4,1,2,11,1,9,3.39,C
7,0,2,1,13,1,6,2.85,D
9,3,2,1,12,1,14,2.99,D
7,4,0,1,16,0,6,3.33,C
7,4,2,1,9,1,7,4.39,C
10,4,2,1,14,0,9,2.36,D
15,6,1,1,37,0,7,2.63,D
9,5,3,1,15,1,13,2.11,D
22,14,3,3,47,2,29,3.04,D
10,7,2,1,14,0,7,2.19,D
7,7,1,1,15,1,6,2.64,D
6,5,1,1,16,1,14,3.38,C
8,10,1,2,18,1,11,3.09,D
6,6,0,1,14,0,7,3.8,C
7,4,1,1,16,0,10,2.73,D
5,4,3,2,13,1,7,2.65,D
5,3,0,2,15,1,11,3.03,D
8,3,1,1,14,1,9,2.1,D
10,6,2,1,19,1,9,1.75,D
6,3,4,1,17,1,14,3.33,C
4,2,1,1,12,1,5,2.48,D
5,3,0,2,20,0,7,2.62,D
6,4,1,1,14,1,9,3.2,D
2,2,1,1,14,1,7,3.17,D
4,4,0,1,9,0,7,2.79,D
7,4,2,1,11,2,14,2.57,D
4,4,1,2,12,1,15,3.58,C
3,2,1,1,21,1,8,2.94,D
6,3,1,1,5,0,2,3.1,D
9,3,1,1,10,1,7,2.61,D
7,4,0,1,17,1,9,2.89,D
5,5,3,1,18,1,7,3.19,D
6,3,1,1,22,1,9,3.16,D
7,4,1,2,12,1,7,2.92,D
4,4,2,2,13,1,7,2.77,D
6,2,0,1,9,0,6,3.38,C
5,3,1,1,20,1,4,2.79,D
6,3,1,1,16,1,8,3.14,D
6,3,0,1,13,1,5,3.84,C
5,3,1,1,15,1,7,3.0,D
6,4,0,1,10,1,5,2.57,D
4,5,2,3,18,1,10,3.71,C
7,3,0,1,13,0,11,4.06,C
5,3,0,2,10,0,5,4.11,C
9,5,0,1,9,1,8,4.15,C
12,4,1,1,15,1,8,1.99,D
8,3,1,1,7,1,8,4.13,C
6,3,2,1,17,1,8,3.53,C
4,2,1,1,6,1,7,2.75,D
10,3,1,1,15,1,10,3.23,D
8,2,1,1,15,1,7,3.69,C
5,5,1,1,21,1,8,3.02,D
4,2,1,1,11,1,12,4.51,C
4,3,1,1,11,1,8,2.64,D
6,2,0,1,10,1,9,2.39,D
7,3,3,2,13,1,7,2.01,D
8,4,1,2,13,1,10,2.67,D
7,5,1,1,15,1,7,3.62,C
5,4,2,1,19,1,11,2.25,D
5,5,3,2,20,1,10,3.43,C
6,2,1,1,13,0,7,2.66,D
6,4,2,2,15,1,11,3.2,D
8,7,3,2,21,1,9,3.49,C
6,3,2,1,16,1,16,3.37,C
10,3,3,2,17,1,12,3.92,C
9,4,2,2,24,0,10,2.56,D
5,1,0,1,11,0,8,2.86,D
5,4,6,2,21,1,11,1.91,D
5,2,1,1,12,1,6,4.15,C
7,4,0,2,23,1,17,3.95,C
8,5,2,1,10,4,11,3.6,C
5,2,1,2,12,1,12,4.03,C
9,3,1,1,13,1,8,3.52,C
6,3,2,1,11,2,10,4.24,C
11,8,2,1,9,1,8,3.25,C
4,3,1,1,10,1,7,2.5,D
5,2,1,2,15,1,8,2.77,D
7,4,1,1,18,1,9,4.39,C
6,5,1,1,13,1,10,3.43,C
4,2,0,1,13,1,7,2.86,D
4,4,2,1,17,2,10,3.21,D
4,3,1,1,9,0,6,3.16,D
6,3,1,0,21,1,7,2.45,D
9,4,2,1,22,1,11,3.44,C
6,5,1,1,20,1,11,2.73,D
6,2,0,1,17,0,8,3.56,C
6,3,0,1,22,0,9,2.21,D
8,5,1,2,13,1,9,3.28,C
4,3,2,1,19,1,7,1.71,D
5,2,2,1,20,1,10,2.78,D
3,2,1,1,7,1,7,2.25,D
5,3,1,2,14,1,11,2.69,D
5,1,1,1,7,0,4,3.2,D
4,3,1,0,5,1,7,3.43,C
6,2,1,1,7,1,15,2.78,D
4,2,1,1,10,1,6,1.8,D
5,3,1,1,8,1,6,3.46,C
4,3,0,1,17,0,12,2.57,D
4,3,0,1,12,1,7,2.1,D
4,2,3,2,16,1,7,3.78,C
7,5,2,1,16,1,9,2.82,D
5,2,0,1,8,1,10,2.27,D
5,6,3,2,19,1,10,3.22,D
6,3,1,1,21,1,7,2.98,D
4,3,1,1,19,1,6,3.06,D
5,2,2,1,7,1,7,4.08,C
6,2,1,1,8,1,4,3.27,C
5,5,1,0,14,1,8,3.72,C
11,7,5,3,15,1,9,4.49,C
4,4,1,1,11,1,5,4.28,C
6,3,1,1,12,1,8,3.05,D
6,3,2,1,15,3,10,1.87,D
5,2,1,2,22,0,10,3.1,D
4,3,1,1,9,1,8,2.5,D
9,4,1,1,18,0,9,2.24,D
2,2,1,0,5,0,4,3.85,C
7,4,0,1,18,2,6,2.35,D
5,5,3,1,14,1,7,3.33,C
9,3,1,1,10,1,11,3.18,D
6,4,1,0,22,1,11,2.65,D
4,3,2,1,18,1,8,2.0,D
5,4,1,1,14,1,7,2.92,D
4,2,0,1,7,1,6,2.36,D
9,4,0,1,20,1,16,3.11,D
6,4,2,2,21,0,9,3.16,D
8,3,2,1,21,1,12,2.24,D
4,3,1,1,8,1,8,4.3,C
18,4,2,2,17,1,14,2.71,D
8,5,2,2,12,2,11,3.53,C
6,8,1,1,20,1,8,3.71,C
6,5,1,1,18,1,13,3.58,C
6,5,2,1,16,1,12,3.49,C
5,4,3,3,17,1,8,3.39,C
4,5,2,1,11,1,6,3.89,C
6,4,1,1,10,1,9,2.69,D
5,5,1,1,13,1,6,2.34,D
9,4,1,2,15,1,8,3.21,D
10,5,3,2,22,1,11,3.06,D
7,3,1,1,17,0,8,3.15,D
6,6,1,1,11,1,5,3.43,C
5,6,2,2,18,1,12,3.51,C
6,5,1,2,32,0,13,3.84,C
6,3,1,1,9,1,5,3.49,C
4,3,4,2,19,1,18,3.38,C
6,4,2,2,12,1,9,3.82,C
3,2,1,1,10,1,7,2.42,D
6,5,2,2,14,1,8,3.31,C
13,4,2,1,17,1,13,3.91,C
7,3,1,1,16,1,6,2.63,D
8,3,3,1,14,1,9,4.04,C
4,4,0,2,12,1,6,3.82,C
4,3,1,1,16,1,9,3.57,C
4,3,1,1,11,1,7,2.67,D
6,3,2,1,16,1,7,3.6,C
10,6,2,1,17,1,10,3.49,C
11,5,2,1,16,1,10,2.89,D
4,5,1,1,14,2,8,2.63,D
4,3,1,1,7,1,5,3.49,C
13,4,1,1,16,1,15,1.08,E
6,5,5,1,22,1,12,2.72,D
7,4,1,3,22,1,11,3.41,C
5,5,2,1,21,1,10,3.51,C
4,1,1,1,10,0,8,3.64,C
6,4,0,1,17,0,9,3.1,D
7,5,5,2,26,2,20,3.19,D
6,1,0,2,12,2,12,3.8,C
6,4,2,1,24,1,10,2.72,D
6,4,2,1,16,1,10,4.3,C
7,3,1,1,8,1,9,3.08,D
6,5,3,3,31,1,9,3.2,D
6,4,1,2,17,1,9,1.93,D
8,3,1,2,22,1,18,2.1,D
5,6,5,3,30,2,12,3.76,C
5,2,1,1,10,1,8,2.88,D
3,4,0,1,13,1,7,3.04,D
5,3,1,1,17,1,7,4.11,C
17,6,4,1,27,1,15,3.8,C
6,6,2,2,19,1,15,2.63,D
8,4,2,1,10,1,9,1.67,D
11,4,4,2,22,1,10,2.09,D
5,2,2,2,19,1,7,3.08,D
9,3,2,2,20,1,15,3.47,C
7,3,1,1,15,1,13,2.23,D
8,4,1,2,16,1,11,3.21,D
5,3,0,1,11,1,10,4.66,C
4,2,1,1,9,1,7,1.67,D
11,5,1,1,20,1,16,3.44,C
8,6,2,2,25,1,20,3.48,C
4,3,0,1,11,0,11,3.78,C
9,2,1,1,10,0,8,3.28,C
6,4,1,2,10,1,16,2.97,D
5,3,1,2,7,1,5,3.4,C
5,3,1,1,14,1,9,2.25,D
9,5,2,2,27,1,18,3.65,C
8,3,3,1,8,1,4,3.17,D
8,5,2,2,13,1,16,4.64,C
7,3,4,1,15,1,13,4.21,C
4,4,1,2,12,1,11,4.1,C
8,2,1,1,12,1,11,3.43,C
8,3,2,1,13,1,13,3.35,C
7,4,2,2,15,2,12,2.75,D
9,4,2,3,12,1,9,3.67,C
6,3,2,1,9,1,8,1.91,D
5,4,0,1,16,1,10,2.47,D
4,3,1,2,19,1,6,2.77,D
5,4,1,0,16,1,8,2.22,D
4,5,4,1,9,1,13,4.09,C
11,4,2,2,13,1,12,3.0,D
4,3,4,1,31,1,7,3.47,C
6,6,2,2,14,1,10,3.55,C
7,5,5,2,21,2,12,3.04,D
7,6,2,2,22,1,12,2.41,D
5,4,1,1,21,1,10,3.31,C
3,4,2,4,20,1,6,2.61,D
13,6,1,2,20,2,12,3.71,C
2,1,0,0,15,1,0,2.7,D
5,4,2,2,21,1,10,3.58,C
6,4,1,1,13,1,11,3.94,C
4,4,2,2,18,1,8,3.13,D
4,4,1,1,18,0,8,3.42,C
4,4,1,1,21,1,7,2.72,D
4,6,1,2,17,1,7,3.16,D
5,2,1,1,13,1,7,3.29,C
4,4,0,1,8,0,9,4.19,C
5,3,0,1,21,0,6,2.99,D
4,4,0,1,13,1,6,2.69,D
8,4,1,1,22,1,10,2.47,D
5,6,0,1,23,1,9,3.08,D
5,4,1,1,13,1,8,2.46,D
5,4,1,2,16,1,10,3.13,D
6,5,3,1,22,1,9,3.02,D
6,3,1,1,11,2,7,3.99,C
5,5,3,2,24,1,10,2.92,D
8,4,2,1,16,1,9,3.54,C
4,3,2,2,22,1,6,3.55,C
11,5,2,2,28,1,17,3.94,C
4,5,1,1,15,1,7,2.28,D
9,4,2,1,16,1,13,3.26,C
12,7,2,1,27,1,10,2.78,D
10,4,3,2,29,2,13,3.75,C
3,2,1,0,12,1,6,2.59,D
2,3,2,1,15,0,6,3.17,D
19,6,3,1,28,1,10,3.72,C
5,4,2,1,16,1,10,3.84,C
6,5,1,1,11,1,7,2.54,D
4,3,1,1,8,1,9,3.66,C
4,4,0,1,15,0,9,3.09,D
4,2,1,1,7,1,5,4.29,C
3,3,2,2,23,1,8,2.39,D
2,3,2,2,18,1,8,2.66,D
7,4,1,2,23,1,11,3.34,C
6,2,1,1,11,1,13,1.76,D
4,3,0,1,11,1,6,3.86,C
5,4,1,0,9,1,7,2.07,D
4,3,2,2,17,1,10,2.61,D
4,2,1,1,5,1,7,3.11,D
23,11,5,5,27,11,20,3.78,C
6,2,2,3,11,1,10,3.05,D
6,5,2,2,15,1,13,4.23,C
8,2,1,3,14,1,10,3.21,D
7,4,2,1,13,1,8,4.78,C
5,4,1,2,14,1,9,3.35,C
8,5,1,1,27,0,9,2.51,D
6,3,0,1,7,0,7,2.33,D
4,2,1,1,7,0,7,3.31,C
3,4,1,1,24,1,8,2.75,D
6,3,1,1,15,1,12,3.92,C
5,4,0,1,17,1,7,2.36,D
6,3,1,1,8,1,7,2.69,D
9,5,2,1,15,1,5,3.58,C
8,4,2,1,30,1,7,2.39,D
5,3,1,1,6,0,7,2.31,D
7,4,2,1,19,2,13,3.34,C
7,5,1,1,16,1,7,1.99,D
12,5,3,1,19,1,11,2.9,D
4,5,2,1,18,1,7,3.23,D
5,2,1,1,17,1,9,2.17,D
5,4,1,1,14,1,6,2.18,D
7,5,1,3,19,1,14,3.22,D
12,4,2,2,26,1,11,3.51,C
3,3,1,1,14,1,8,3.47,C
6,4,1,2,10,1,7,3.63,C
8,6,4,2,19,1,12,3.48,C
4,5,1,2,16,1,7,3.64,C
5,4,3,2,14,1,7,3.33,C
6,4,3,2,27,1,13,3.71,C
6,5,2,2,20,2,13,3.92,C
5,4,2,2,14,1,5,3.42,C
7,5,3,2,20,2,8,3.49,C
13,7,1,2,11,2,15,3.95,C
6,4,3,1,13,1,5,3.96,C
4,3,2,1,17,0,8,2.98,D
5,4,1,1,10,1,8,2.74,D
4,3,2,2,12,0,5,2.66,D
10,5,2,2,15,0,7,2.5,D
4,2,0,1,9,1,5,2.72,D
6,4,3,1,16,1,8,2.93,D
6,4,2,1,20,1,11,2.5,D
5,4,0,1,12,0,6,3.25,C
5,1,1,1,6,1,6,1.88,D
6,6,1,2,20,0,9,3.51,C
5,4,1,1,10,0,9,3.52,C
7,3,1,1,8,1,10,2.58,D
4,4,1,1,13,0,1,1.28,E
4,2,1,2,7,0,7,3.08,D
11,7,2,1,11,1,8,3.75,C
6,3,0,1,9,1,5,2.8,D
4,3,1,1,17,1,7,3.1,D
6,3,2,1,16,1,5,2.54,D
5,5,1,1,21,1,7,3.19,D
4,5,2,2,17,1,8,3.54,C
5,3,2,1,14,0,7,2.91,D
6,5,1,1,14,1,9,2.47,D
4,3,1,2,11,1,6,3.0,D
5,3,1,1,16,1,8,3.75,C
3,2,1,1,13,0,7,3.23,D
4,4,4,1,11,1,11,3.76,C
8,4,2,1,19,1,13,2.99,D
9,5,0,1,23,1,9,2.46,D
4,3,0,1,13,0,9,3.63,C
4,3,0,0,9,1,4,3.09,D
7,4,1,1,18,1,8,2.94,D
5,6,2,2,22,0,10,2.38,D
5,2,1,1,4,1,6,0.36,E
4,3,0,1,9,1,5,2.11,D
9,3,1,1,12,2,10,3.17,D
12,3,1,1,5,1,5,3.58,C
4,3,0,1,9,0,7,3.11,D
7,4,1,1,9,1,5,3.31,C
4,2,0,1,15,0,4,3.4,C
3,5,2,1,17,1,6,2.6,D
5,3,1,1,11,1,7,2.96,D
5,3,2,1,16,1,5,3.11,D
6,4,0,1,15,1,11,1.67,D
5,3,1,1,4,1,7,1.98,D
5,3,1,1,17,1,5,2.41,D
6,5,2,1,17,1,7,2.4,D
6,4,1,1,21,1,8,3.34,C
11,4,2,1,22,1,13,2.55,D
6,4,1,1,19,1,8,3.17,D
5,6,2,1,14,1,9,2.75,D
6,3,2,1,11,1,7,3.58,C
6,3,1,1,10,1,5,0.17,E
6,3,1,1,13,1,11,2.16,D
7,3,1,2,22,1,12,2.07,D
8,4,2,1,24,1,7,2.76,D
10,6,2,1,22,1,16,2.53,D
5,5,1,2,12,2,6,3.92,C
11,4,1,1,19,1,17,2.47,D
5,5,0,1,10,0,8,3.04,D
4,2,0,1,12,0,9,3.24,C
5,3,1,1,7,1,6,3.17,D
4,2,1,1,8,1,6,2.64,D
6,2,1,1,20,0,7,2.89,D
8,4,2,1,16,1,7,3.57,C
8,5,1,2,20,1,8,2.49,D
4,4,0,1,15,0,8,3.14,D
5,3,1,1,18,0,6,3.68,C
5,4,2,1,16,1,12,3.4,C
5,5,3,3,19,1,8,4.44,C
4,2,0,1,12,0,3,3.0,D
5,4,1,1,16,1,6,2.48,D
5,3,0,1,10,1,5,2.92,D
6,4,1,1,8,1,7,2.86,D
6,3,1,1,5,1,4,1.39,E
12,4,1,2,22,0,10,2.79,D
6,3,0,1,11,0,7,2.93,D
6,3,4,1,13,1,8,4.55,C
6,4,1,1,8,1,5,2.53,D
9,5,2,1,17,1,8,2.69,D
6,3,1,1,12,1,15,2.43,D
5,3,3,0,16,1,8,2.17,D
5,6,0,1,16,1,13,1.99,D
7,4,2,2,14,1,9,3.25,C
15,4,1,1,20,1,10,1.93,D
7,4,0,2,16,0,13,2.07,D
11,4,2,1,11,1,11,2.45,D
8,5,1,1,18,2,11,2.66,D
5,3,2,2,11,1,11,3.64,C
8,4,1,1,19,0,7,2.86,D
6,1,2,1,14,1,9,2.97,D
8,3,2,1,12,1,8,3.46,C
9,4,0,1,16,1,9,2.7,D
6,3,2,2,15,1,10,2.8,D
7,4,2,1,12,1,7,2.42,D
7,7,2,1,13,0,6,2.67,D
9,5,3,1,16,1,8,3.63,C
5,3,1,1,13,1,7,2.23,D
6,4,0,1,11,1,11,3.7,C
4,2,1,1,5,0,5,3.76,C
6,5,1,1,11,1,10,3.71,C
5,3,2,1,11,1,10,3.18,D
7,4,2,2,23,1,9,2.82,D
5,5,0,1,9,0,7,3.44,C
4,3,2,1,9,1,8,1.62,D
9,4,2,1,15,2,9,3.2,D
5,3,2,1,16,0,7,3.56,C
7,5,1,2,15,1,12,3.15,D
4,3,1,1,7,1,5,2.86,D
5,3,2,1,11,1,7,3.25,C
2,5,1,1,15,0,7,2.93,D
7,4,3,1,24,1,11,3.28,C
5,2,1,1,8,1,7,3.04,D
8,4,2,1,12,1,11,4.81,C
3,1,1,1,9,1,7,1.63,D
6,2,1,1,4,1,7,3.16,D
7,4,0,1,17,0,7,2.44,D
10,5,1,1,13,1,7,3.71,C
7,3,1,1,6,1,6,3.33,C
5,4,1,1,10,0,10,3.95,C
6,4,1,1,22,0,13,3.0,D
6,4,1,2,13,1,13,2.27,D
3,4,0,1,15,1,7,2.84,D
4,1,1,1,6,0,5,3.19,D
6,5,1,2,14,1,8,2.41,D
6,5,2,2,18,0,13,3.58,C
8,4,1,1,9,1,5,2.88,D
6,2,1,1,12,1,7,3.64,C
5,4,1,1,9,1,7,2.93,D
5,2,1,1,5,1,7,3.46,C
6,5,2,1,10,1,7,3.6,C
9,5,1,2,15,1,13,4.61,C
7,6,1,3,19,2,19,5.43,B
5,4,2,1,11,1,6,2.76,D
7,3,0,1,14,1,5,3.71,C
9,3,2,2,15,2,6,3.54,C
6,5,3,2,13,1,9,5.35,B
5,2,1,1,7,1,8,3.68,C
6,2,1,1,16,0,7,2.92,D
7,3,2,2,14,1,6,3.3,C
7,2,1,2,15,0,9,2.94,D
6,3,1,1,13,1,7,3.8,C
4,2,2,1,13,1,7,3.9,C
9,4,1,1,12,1,10,2.56,D
3,3,1,1,10,1,9,2.49,D
5,2,1,1,6,1,7,4.03,C
5,3,1,1,13,1,10,3.93,C
8,4,0,1,12,0,13,2.94,D
6,2,1,1,11,1,9,2.97,D
6,3,1,2,9,1,6,5.08,B
8,4,3,2,23,1,24,2.29,D
8,4,2,2,24,1,12,3.78,C
7,5,1,2,12,1,10,2.32,D
5,4,2,1,11,1,12,3.24,C
4,2,0,1,15,0,9,1.67,D
4,4,1,1,12,1,10,4.15,C
5,4,1,1,10,1,7,2.14,D
9,5,2,1,22,1,15,3.46,C
6,4,2,1,19,1,15,2.7,D
6,4,1,2,13,1,15,4.03,C
13,8,2,2,29,1,18,3.6,C
10,3,2,1,14,1,9,1.97,D
5,4,2,2,21,1,15,3.51,C
5,3,1,1,11,1,8,2.84,D
7,3,3,2,13,1,9,2.66,D
5,3,2,2,27,1,17,2.79,D
6,2,2,1,10,1,11,2.1,D
6,2,1,1,8,0,9,2.7,D
5,4,1,1,13,1,8,2.9,D
7,4,1,1,16,1,12,4.21,C
5,3,0,1,17,1,17,4.38,C
6,2,1,1,12,1,11,3.36,C
5,4,1,1,16,1,7,3.31,C
7,3,2,1,12,1,6,0.63,E
6,3,1,1,7,1,4,2.7,D
9,3,1,1,13,1,8,2.24,D
8,3,2,1,12,1,6,4.22,C
5,4,0,2,17,1,10,2.64,D
9,7,0,1,30,2,13,2.89,D
2,1,1,0,8,0,6,1.9,D
6,3,2,1,18,1,9,2.79,D
7,4,2,1,21,1,8,2.67,D
17,6,2,1,30,1,16,2.59,D
4,3,1,1,4,1,9,3.39,C
4,4,2,1,22,1,9,3.23,D
5,5,1,1,15,2,11,3.44,C
4,4,1,1,17,1,11,3.09,D
7,4,4,1,14,1,14,3.61,C
5,5,2,1,19,1,15,3.56,C
7,4,2,1,17,1,7,2.83,D
5,4,1,1,8,1,5,2.43,D
11,3,2,1,15,1,10,2.48,D
5,4,1,1,11,1,9,3.07,D
7,4,2,1,14,1,18,2.45,D
3,2,0,1,10,1,5,2.82,D
7,3,1,1,10,1,12,1.64,D
4,3,1,1,10,1,8,3.66,C
5,4,1,1,11,0,6,2.93,D
8,6,3,2,15,1,11,3.74,C
6,3,0,1,8,1,5,4.87,B
4,3,2,1,20,1,10,3.12,D
7,3,1,2,10,2,3,2.64,D
4,4,1,1,7,0,6,2.32,D
6,3,1,1,19,1,8,4.24,C
6,2,2,1,13,1,14,2.32,D
6,4,1,2,15,1,11,2.58,D
9,3,2,0,15,1,6,2.72,D
4,3,1,1,5,0,6,0.19,E
7,4,2,1,13,0,8,3.02,D
7,4,1,1,25,1,14,2.6,D
6,8,0,2,18,1,7,3.49,C
6,4,2,1,18,1,9,3.36,C
7,7,2,1,17,0,10,2.62,D
14,3,2,2,21,1,11,3.72,C
4,2,1,0,9,1,5,3.21,D
7,2,1,0,10,0,9,3.27,C
4,4,2,1,13,1,7,2.27,D
4,4,2,2,25,1,7,3.12,D
5,4,2,2,18,2,10,3.91,C
7,5,2,1,19,1,7,2.55,D
8,3,1,4,18,0,12,2.29,D
9,3,2,2,16,1,14,2.77,D
4,2,2,2,12,1,12,4.74,C
8,5,6,2,32,2,10,2.88,D
8,5,5,1,26,1,13,3.93,C
5,1,1,1,14,0,11,2.92,D
9,4,1,2,23,1,8,3.15,D
5,4,1,1,16,1,10,3.23,D
6,3,2,1,15,0,5,2.87,D
6,5,2,2,15,2,8,3.19,D
6,6,0,2,15,1,12,3.72,C
6,3,1,1,15,1,8,2.76,D
5,2,2,2,15,1,19,2.91,D
4,4,0,2,18,1,7,2.78,D
8,4,1,2,13,1,8,1.86,D
2,4,2,1,14,1,5,3.81,C
4,2,1,1,8,0,3,3.89,C
4,4,0,1,13,1,8,5.65,B
8,5,2,2,19,1,6,2.61,D
7,7,0,3,26,1,12,3.03,D
4,6,1,1,15,1,6,2.69,D
7,4,0,2,15,1,7,1.86,D
5,3,1,2,19,0,8,2.81,D
11,5,2,1,19,2,9,3.15,D
7,4,1,2,14,1,10,3.48,C
9,4,1,2,18,1,11,3.14,D
5,2,2,2,14,1,11,2.11,D
8,5,5,3,18,1,15,2.8,D
9,5,2,2,18,1,14,2.97,D
9,1,1,1,15,1,10,2.93,D
5,5,3,2,21,2,19,2.95,D
5,3,2,4,14,1,11,4.7,C
7,3,3,1,10,1,7,3.78,C
5,3,0,1,13,0,7,2.76,D
6,2,2,1,15,1,7,2.87,D
8,4,1,1,20,1,9,2.79,D
5,3,1,1,11,1,9,2.64,D
8,3,1,2,16,1,10,2.39,D
7,5,3,2,25,1,16,3.22,D
7,2,2,2,13,1,8,2.71,D
4,4,3,1,17,1,11,3.06,D
4,2,0,1,10,1,6,3.3,C
6,4,2,2,12,1,11,3.8,C
4,2,2,2,12,1,8,3.28,C
5,3,1,1,9,0,5,3.38,C
5,2,1,2,15,1,12,3.5,C
10,6,1,2,10,1,18,2.51,D
4,3,1,1,20,1,9,2.45,D
6,5,1,2,13,1,11,3.1,D
6,4,1,1,21,0,16,2.92,D
5,2,1,1,7,0,7,1.8,D
4,3,1,1,14,1,6,2.47,D
14,5,1,2,25,1,19,3.51,C
5,3,0,1,19,1,7,2.92,D
5,2,2,1,10,1,11,2.22,D
4,3,0,1,14,0,6,3.31,C
6,2,1,1,17,2,6,3.45,C
2,3,1,2,21,1,5,2.43,D
4,2,1,2,22,2,7,3.54,C
5,2,2,2,15,1,12,3.33,C
5,4,2,1,20,2,17,2.56,D
