BANHEIROS,COZINHA,LABORATÓRIO,ESPORTE,SALAS DE AULA,LEITURA,OUTROS,IDESP_AF,CLASSIFICACAO_NOTA
7,4,2,1,24,1,8,2.75,D
7,5,1,1,23,1,10,3.1,D
4,2,1,1,11,1,8,3.93,C
6,5,1,1,14,1,12,3.48,C
6,4,1,1,16,1,7,4.23,C
13,5,3,3,30,1,9,3.3,C
9,3,2,2,20,1,15,3.72,C
3,1,1,0,5,1,6,0.0,E
5,3,1,0,6,1,10,0.0,E
5,4,2,2,13,1,11,4.1,C
5,3,1,1,17,1,8,0.0,E
3,3,1,1,10,1,9,2.79,D
4,4,3,1,14,1,8,4.13,C
13,2,2,2,11,1,9,4.14,C
10,4,2,2,19,2,13,3.97,C
7,3,1,1,15,1,13,3.39,C
10,5,1,1,19,1,9,3.66,C
4,4,2,1,17,1,7,2.98,D
5,2,1,1,6,1,7,3.54,C
13,3,1,1,11,1,7,3.84,C
5,5,1,1,16,1,8,2.67,D
9,3,3,1,13,1,12,2.4,D
6,4,2,2,16,1,12,2.98,D
6,6,2,2,15,1,13,3.26,C
11,3,2,1,15,1,7,2.98,D
5,3,1,1,13,1,10,3.01,D
5,4,0,2,7,1,12,3.53,C
12,3,2,3,19,1,29,4.45,C
5,2,0,1,8,1,13,4.7,C
5,4,2,1,25,2,9,0.0,E
4,4,1,1,16,0,14,5.08,B
6,6,1,2,15,1,17,4.76,C
8,4,0,1,12,0,13,3.91,C
7,2,2,1,9,1,18,5.07,B
6,5,2,1,11,1,13,6.52,A
5,4,2,2,14,1,14,4.97,B
7,3,1,2,10,1,18,3.65,C
6,5,2,1,10,1,14,4.91,B
7,6,2,1,14,1,16,3.65,C
6,4,2,1,18,1,16,4.76,C
5,3,2,2,14,0,8,0.0,E
9,7,2,2,21,1,15,4.16,C
4,3,1,2,13,1,11,2.96,D
9,4,2,1,20,1,9,3.59,C
8,4,1,2,16,1,11,3.61,C
7,5,3,2,20,2,8,4.14,C
7,4,1,1,13,1,8,2.93,D
7,6,2,3,22,1,11,2.39,D
4,3,1,1,10,1,9,4.88,B
9,2,1,1,16,1,13,0.0,E
8,2,1,1,13,1,9,3.76,C
7,4,1,1,18,1,12,0.0,E
6,4,3,0,18,2,8,3.27,C
5,5,2,1,17,1,15,4.86,B
6,2,1,1,11,1,9,3.52,C
5,2,0,2,13,1,8,4.1,C
5,3,0,1,11,1,10,4.91,B
5,5,4,2,18,1,8,4.8,C
10,5,2,2,15,1,13,4.66,C
8,3,1,1,10,1,8,3.28,C
6,3,1,2,9,1,6,4.58,C
8,3,3,2,20,1,14,3.23,D
4,3,1,1,11,1,6,4.13,C
8,3,2,1,15,1,14,4.8,C
8,4,0,2,18,1,9,6.07,B
6,3,2,2,15,1,13,0.0,E
9,4,4,1,9,1,11,0.0,E
7,2,1,1,13,3,11,3.52,C
9,3,0,1,16,0,10,3.92,C
6,7,0,1,11,1,10,4.64,C
6,4,1,1,16,1,10,0.0,E
8,4,2,2,18,2,15,3.48,C
7,3,2,1,11,1,11,4.35,C
4,3,5,2,19,1,15,0.0,E
4,2,1,1,9,1,7,4.29,C
8,4,3,2,23,1,24,2.84,D
7,5,1,1,23,1,16,2.78,D
6,4,1,1,9,1,11,2.92,D
5,4,1,1,16,0,10,3.16,D
8,3,1,1,9,1,7,3.15,D
4,4,2,1,26,1,9,3.21,D
10,6,2,2,20,1,13,3.45,C
8,3,1,1,16,0,14,3.24,C
4,2,1,1,12,1,7,0.0,E
5,2,2,1,8,1,9,0.0,E
5,3,1,1,18,1,19,0.0,E
12,4,3,2,30,1,13,2.92,D
5,3,1,1,10,1,11,3.24,C
11,7,2,2,18,2,21,3.06,D
11,5,1,1,20,1,16,3.85,C
5,1,1,2,13,1,11,3.18,D
7,4,4,2,16,0,10,2.87,D
4,2,1,1,15,1,9,3.53,C
5,4,4,2,22,1,11,5.78,B
8,4,2,2,24,1,12,2.98,D
5,3,2,1,19,1,10,2.67,D
7,2,2,1,8,1,7,2.63,D
5,3,3,2,9,1,8,5.93,B
5,2,0,1,13,1,11,3.01,D
4,2,1,1,10,1,7,0.0,E
4,3,0,1,10,1,9,3.59,C
5,2,2,1,7,1,9,4.69,C
9,3,4,1,9,1,12,0.0,E
7,5,1,2,12,1,10,3.38,C
7,3,1,1,8,1,6,3.75,C
5,4,2,1,11,1,12,3.75,C
10,1,2,2,10,1,17,0.0,E
8,6,2,2,25,1,20,3.96,C
5,4,2,1,17,1,7,3.75,C
6,6,1,1,10,1,9,3.78,C
8,2,1,1,10,1,10,3.26,C
5,3,3,2,16,1,12,3.04,D
4,2,0,1,15,0,9,2.34,D
5,4,2,1,13,1,6,3.49,C
6,4,1,1,13,1,10,3.35,C
7,4,2,1,15,1,12,3.85,C
6,3,4,1,13,1,15,0.0,E
10,6,1,1,21,1,10,0.0,E
13,5,2,2,13,1,17,5.04,B
7,3,1,1,10,1,11,3.76,C
6,3,1,1,10,1,6,0.0,E
12,6,2,2,22,2,15,3.0,D
4,4,4,2,15,1,11,5.38,B
5,3,0,1,5,1,8,3.53,C
6,4,1,1,13,1,11,0.0,E
5,4,3,1,17,1,11,2.97,D
7,4,2,2,34,1,9,2.38,D
8,4,3,2,19,1,9,3.01,D
11,4,2,1,24,0,12,2.85,D
6,4,1,2,10,1,7,3.54,C
5,3,1,0,8,0,15,0.0,E
14,4,1,2,26,1,11,3.25,C
4,2,1,1,8,1,5,2.99,D
4,3,1,1,12,1,6,0.0,E
7,2,1,1,12,0,11,3.31,C
5,4,4,2,13,1,13,4.47,C
4,3,1,1,9,1,7,3.48,C
5,5,2,2,17,1,9,3.88,C
4,1,2,1,13,1,8,3.89,C
4,1,2,2,17,1,7,3.74,C
4,4,2,3,18,2,10,4.2,C
6,3,2,1,22,1,9,3.22,D
5,4,1,2,14,1,8,2.87,D
4,2,1,1,11,1,5,3.89,C
5,5,3,2,24,1,10,3.6,C
12,3,1,1,34,1,8,3.02,D
5,6,2,2,19,1,10,4.7,C
4,3,1,1,14,1,8,0.0,E
6,3,1,1,10,1,7,3.24,C
8,4,1,1,14,1,6,0.0,E
6,4,1,1,21,1,9,0.0,E
4,4,1,1,18,1,13,2.75,D
11,4,2,3,22,1,13,3.58,C
8,5,1,1,19,1,13,0.0,E
4,5,3,2,17,1,7,3.58,C
5,6,1,1,21,1,10,4.81,C
8,4,0,1,21,1,11,4.4,C
7,5,1,1,14,1,9,3.37,C
6,3,1,1,11,0,7,0.0,E
3,4,1,0,9,1,6,0.0,E
6,3,0,0,8,1,6,0.0,E
4,5,1,2,23,1,16,3.03,D
6,5,4,2,21,0,9,3.16,D
8,4,2,2,19,2,16,2.86,D
5,3,0,1,11,0,8,0.0,E
8,5,2,2,21,1,9,0.0,E
10,6,2,1,17,1,11,3.08,D
5,3,1,1,10,0,6,0.0,E
6,5,1,0,12,1,7,3.13,D
17,3,2,1,20,1,10,3.6,C
4,3,1,0,6,1,8,4.33,C
4,3,0,1,14,1,8,0.0,E
8,5,2,2,27,1,14,5.71,B
5,4,1,0,11,0,6,0.0,E
8,4,2,1,16,1,9,2.46,D
4,3,1,2,16,1,14,0.0,E
9,5,1,1,19,1,6,4.2,C
6,4,2,1,16,1,11,3.47,C
4,2,1,1,11,1,11,2.89,D
8,4,2,1,18,0,10,0.0,E
9,3,0,1,17,0,9,0.0,E
7,2,1,1,9,1,8,4.25,C
7,3,1,1,10,1,10,3.01,D
3,3,1,1,4,0,4,0.0,E
4,4,1,0,16,1,7,0.0,E
6,3,1,1,12,0,8,3.96,C
7,4,1,1,16,1,8,5.55,B
5,6,0,0,12,1,8,0.0,E
4,2,1,1,14,1,8,0.0,E
4,3,1,1,18,0,7,0.0,E
6,3,0,1,18,0,14,0.0,E
3,3,1,2,20,0,5,4.1,C
5,4,1,1,21,1,6,0.0,E
5,3,4,2,15,1,7,3.73,C
8,6,0,1,15,0,4,0.0,E
9,5,1,1,19,1,11,3.44,C
5,4,1,1,16,1,9,0.0,E
4,5,1,1,22,1,9,0.0,E
6,5,3,1,19,1,10,3.61,C
5,7,3,2,26,1,10,2.7,D
3,3,1,1,12,1,7,0.0,E
6,4,2,1,20,1,11,3.37,C
5,5,1,1,19,1,12,3.91,C
4,5,1,1,13,1,8,2.32,D
7,5,1,2,14,1,9,3.43,C
4,3,2,1,16,1,6,2.59,D
4,2,1,1,7,0,8,1.93,D
7,4,2,1,16,1,12,3.25,C
5,3,3,1,11,0,10,2.75,D
3,3,0,1,3,1,4,0.0,E
5,3,0,1,8,0,6,0.0,E
5,3,1,1,9,0,6,0.0,E
10,4,2,1,18,1,7,3.02,D
6,2,1,1,19,2,9,2.76,D
4,5,2,1,21,1,9,3.78,C
4,3,2,1,10,1,7,3.86,C
7,3,2,2,18,1,14,2.62,D
5,5,1,1,20,1,8,3.46,C
4,1,1,1,8,0,7,0.0,E
3,2,2,1,10,0,6,3.04,D
7,4,1,1,17,1,5,2.22,D
6,3,1,0,12,1,6,0.0,E
5,3,3,1,15,1,6,2.87,D
6,3,1,1,5,1,4,2.61,D
7,5,3,2,18,1,16,3.4,C
8,4,1,1,21,0,10,2.94,D
4,5,1,2,14,0,9,0.0,E
5,4,2,1,22,2,9,2.46,D
6,4,0,1,18,0,7,4.09,C
7,3,0,1,17,1,8,3.89,C
5,2,0,1,10,0,6,4.7,C
5,4,2,1,10,0,7,3.87,C
6,4,2,2,20,0,13,3.88,C
4,3,0,1,12,1,7,0.0,E
6,5,1,1,11,1,7,2.91,D
6,4,2,1,17,1,10,2.77,D
4,5,0,1,11,2,7,0.0,E
10,2,2,1,19,0,8,2.63,D
9,5,3,2,17,1,8,4.67,C
10,4,2,1,18,1,10,3.07,D
4,5,3,2,17,1,8,2.84,D
8,4,1,1,25,1,16,3.39,C
7,5,2,2,24,1,16,3.3,C
5,3,0,1,12,1,6,3.38,C
4,3,1,1,8,1,9,3.48,C
4,3,0,1,16,3,7,3.21,D
8,5,2,1,14,1,14,3.34,C
7,5,2,1,11,1,10,3.15,D
9,4,2,1,15,2,10,3.16,D
4,4,2,1,20,1,7,3.67,C
6,4,2,1,19,1,5,3.68,C
5,3,1,1,14,1,8,3.23,D
10,4,2,2,19,1,21,2.24,D
4,4,0,1,15,0,9,3.39,C
9,2,1,1,14,1,9,4.01,C
5,4,0,1,19,1,5,0.0,E
4,3,2,1,13,1,10,3.89,C
5,4,1,1,26,1,8,3.14,D
8,3,2,1,12,0,12,3.96,C
6,3,2,1,17,1,15,3.62,C
5,4,2,1,17,1,10,2.79,D
2,3,1,1,8,1,5,2.64,D
3,2,1,1,10,1,6,2.69,D
7,5,5,2,13,2,12,0.0,E
4,5,3,2,17,1,10,2.9,D
5,5,2,1,21,1,10,2.7,D
9,3,2,1,20,1,11,3.16,D
7,3,2,1,15,1,12,3.04,D
4,4,1,1,11,1,9,3.08,D
8,5,0,1,18,1,9,2.64,D
4,3,0,1,8,0,4,3.2,D
5,4,1,1,15,0,8,3.22,D
4,4,2,2,16,1,12,4.44,C
5,3,0,1,7,1,7,4.31,C
4,2,1,1,7,1,5,3.34,C
6,4,1,2,15,0,7,3.75,C
5,4,1,2,23,1,11,0.0,E
7,3,1,1,13,1,9,3.55,C
4,3,1,1,10,0,6,1.98,D
4,3,1,1,12,1,4,2.97,D
5,4,1,2,17,1,10,3.58,C
3,3,1,1,7,1,5,2.97,D
5,3,1,1,12,1,7,3.38,C
12,5,2,1,22,1,15,2.57,D
5,3,0,2,17,0,10,1.77,D
5,4,1,2,12,1,8,3.04,D
4,2,1,1,7,1,6,3.0,D
4,3,0,1,11,1,3,4.55,C
6,2,2,1,13,1,8,3.14,D
5,4,1,2,18,1,11,0.0,E
7,4,2,2,19,1,11,3.29,C
6,5,1,1,13,2,13,2.63,D
4,3,2,1,18,1,8,2.64,D
5,4,2,2,18,1,8,2.99,D
8,5,1,2,17,2,20,4.07,C
6,3,2,1,19,1,7,2.93,D
4,4,2,1,18,1,8,2.89,D
5,4,1,1,17,0,6,0.0,E
4,5,1,2,19,1,13,3.49,C
4,3,2,1,17,1,7,2.76,D
4,1,1,1,9,1,5,3.18,D
6,5,1,1,18,1,11,3.14,D
8,4,2,2,17,1,12,0.0,E
3,3,2,2,23,1,8,2.44,D
3,4,1,1,13,1,10,3.77,C
2,3,2,2,18,1,8,3.29,C
5,5,1,1,15,1,9,3.05,D
6,4,2,2,22,1,6,3.05,D
9,4,1,1,25,0,10,0.0,E
6,3,2,2,12,2,9,3.05,D
6,4,2,1,23,1,9,3.38,C
8,5,2,2,19,1,9,3.17,D
6,4,1,2,19,1,8,3.28,C
4,4,2,3,17,2,11,2.62,D
4,3,1,2,10,1,7,2.66,D
4,4,1,1,23,1,11,2.4,D
7,4,1,2,23,1,11,4.16,C
8,1,2,1,16,1,10,2.95,D
4,6,3,2,20,1,11,2.51,D
5,3,2,2,17,1,11,3.18,D
5,4,2,2,26,1,8,3.72,C
4,5,2,2,16,1,9,2.82,D
4,3,1,2,18,1,8,2.91,D
4,6,2,2,16,1,12,3.92,C
5,2,0,1,8,0,6,3.57,C
5,3,1,1,13,1,7,3.33,C
7,3,0,1,13,0,9,3.01,D
5,3,1,1,16,1,9,0.0,E
5,3,1,1,13,1,6,2.78,D
8,3,1,1,16,1,9,0.0,E
5,4,0,0,12,0,7,0.0,E
4,4,2,2,18,1,9,0.0,E
16,9,6,1,23,1,18,0.0,E
5,3,1,2,10,1,7,3.68,C
5,4,0,1,15,0,11,0.0,E
7,4,1,1,13,1,12,0.0,E
4,5,4,3,12,0,11,0.0,E
12,3,1,1,15,1,15,3.0,D
9,5,0,2,11,1,11,0.0,E
10,5,1,1,12,1,8,0.0,E
4,5,1,1,12,0,14,0.0,E
6,3,1,1,7,1,8,0.0,E
5,3,0,1,9,0,7,0.0,E
6,5,1,1,14,0,9,0.0,E
4,3,0,1,10,0,5,3.33,C
2,4,2,1,23,1,7,4.34,C
9,4,2,3,20,1,9,0.0,E
9,4,0,1,13,1,11,3.19,D
4,2,0,1,15,1,6,0.0,E
14,4,2,2,18,1,13,3.17,D
2,4,2,1,21,1,8,3.44,C
6,2,1,1,11,1,13,2.0,D
4,2,0,1,16,1,10,0.0,E
4,2,1,1,9,1,9,0.0,E
11,3,1,1,21,1,11,3.16,D
2,3,1,1,10,0,6,0.0,E
5,2,1,1,8,1,6,2.72,D
4,2,1,0,13,0,9,0.0,E
6,1,1,1,15,0,7,0.0,E
5,4,1,1,20,1,13,3.83,C
5,3,1,1,16,0,7,0.0,E
3,4,5,2,18,1,8,2.68,D
4,3,0,1,11,1,6,4.21,C
1,2,2,0,14,1,7,3.27,C
2,2,1,2,13,0,6,2.92,D
10,4,2,2,9,1,6,4.88,B
6,5,0,0,15,1,8,5.11,B
4,3,1,1,13,1,8,3.7,C
8,8,2,1,19,2,11,3.78,C
6,3,1,1,11,1,8,4.96,B
6,4,2,1,19,0,13,3.33,C
5,6,2,1,25,1,12,2.97,D
5,4,1,0,9,1,7,2.74,D
3,4,2,2,16,1,9,3.29,C
5,4,2,1,16,1,10,3.22,D
11,5,4,5,28,1,19,2.7,D
5,4,1,1,14,1,9,5.22,B
7,4,1,1,12,1,10,3.45,C
4,5,2,1,10,1,8,6.79,A
4,3,2,2,20,1,12,3.35,C
10,5,1,2,20,1,12,0.0,E
3,4,1,1,12,1,6,4.74,C
2,5,4,1,19,1,7,3.74,C
3,3,1,2,14,1,10,4.21,C
